id,title,time,source,description
financemagnates:6db747067094b:0,Bitflyer Takes the Reins: Acquiring FTX Japan amid Bankruptcy Fallout,"Thu, 20 Jun 2024 16:01:51 GMT",Finance Magnates,"Today (Thursday), it was disclosed that Bitflyer, a Japanese cryptocurrency exchange, has acquired the Japanese operations of FTX, which had previously filed for Chapter 11 bankruptcy protection in November 2022. FTX Japan was among over 100 affiliated entities included in the bankruptcy proceedings. 

 Asset Segregation Raises Recovery Hopes 

 In contrast to its parent company, FTX Japan reported having more assets than liabilities, with approximately $134 million in user assets segregated from FTX Trading. This distinction raised hopes for the potential recovery of funds belonging to Japanese customers. 

 Bitcoin.com News reported over a year and five months ago that FTX Japan customers would gradually be allowed to withdraw their assets. Founded by Yuzo Kano, a former Goldman Sachs trader, Bitflyer is a well-established cryptocurrency exchange in Japan, having received a license from the Japanese Financial Services Agency in September 2017. 

 Just-In: BitFlyer Exchange Plans To Acquire FTX Japan https://t.co/W00Wq9XkmB 

 According to NHK, Bitflyer is set to acquire all shares of FTX Japan, valuing the subsidiary in the range of several billion yen. As of the latest update, Bitflyer has reported a 24-hour trade volume of approximately $73.11 million, prominently driven by BTC/JPY transactions. It currently ranks 22nd among global exchanges by trading volume as of Today. 

 Implementing TRUST Network 

 In preparation for Japan's stricter cryptocurrency regulations starting in June 2023, Bitflyer implemented enhanced anti-money laundering rules aligning with the FATF's Travel Rule, as reported by Finance Magnates.  

 These rules mandate sharing customer details for transactions exceeding $3,000, including sender and recipient names, addresses, and account information. Bitflyer now restricts deposits and transfers unless counterparties are part of the Travel Rule Universal Solution Technology (TRUST) network.  

 This network, backed by major exchanges like Coinbase and BitGo, facilitates secure information transmission among virtual asset service providers to comply with regulatory requirements effectively. 

 "
cointelegraph:96f0c1cc2094b:0, Bernstein analysts expect $200K Bitcoin price by 2025 due to spot BTC ETF flows ,"Thu, 20 Jun 2024 16:01:20 GMT",Cointelegraph,"Analysts at research and brokerage firm Bernstein predict that Bitcoin BTCUSD could reach nearly $200,000 by the end of next year, following strong inflows into spot U.S. Bitcoin exchange-traded funds (ETFs) since their approval in January. This prediction is an upward revision from their previous target of $150,000. 

 The analysts based this prediction on the assumption that spot Bitcoin ETFs may represent around 7% of the total circulating Bitcoin supply by the end of 2025. 

 “We see Bitcoin ETFs as on the cusp of approvals at major wirehouses/large private bank platforms in Q3/Q4,” Bernstein analysts Gautam Chhugani and Mahika Sapra wrote in a note to clients. 

 The analysts said that currently, nearly 80% of the spot Bitcoin ETF flows come from self-directed retail investors through broker platforms, while institutional integrations with wirehouses are still in their infancy. 

 “Around $15 billion of net new flows have been brought in by the ETFs combined,” the analyst wrote. “We expect Bitcoin ETFs to be equivalent to ~7% of Bitcoin in circulation by 2025 and ~15% of Bitcoin supply by 2033.” 

 Cointelegraph 

 Bernstein analysts also suggest that BTC price has entered a new bull market cycle driven by the recent Bitcoin halving event. They expect new catalysts to emerge that will drive demand for the asset. 

 Apart from capital flows into spot Bitcoin ETFs, the pioneer cryptocurrency has seen significant institutional funds pouring in.  

 MicroStrategy, the largest corporate BTC holder, continues its aggressive BTC accumulation strategy, acquiring an additional 11,931 BTC for approximately $786.0 million, according to founder and former CEO Michael Saylor. Cointelegraph 

 The business intelligence firm now holds 226,331 BTC, approximately 1.15% of Bitcoin’s total global supply.  

 MicroStrategy earlier announced its plans to offer $800 million in aggregate principal amount of convertible senior notes due 2032, the proceeds of which will boost its Bitcoin holdings.  

 If it continues to accumulate Bitcoin over the next few years, Bernstein predicts that the company’s holdings could grow to represent 1.5% of Bitcoin’s total circulating supply by the end of 2025. 

 This article does not contain investment advice or recommendations. Every investment and trading move involves risk, and readers should conduct their own research when making a decision.  

 "
newsbtc:83ca3453a094b:0,87% Of Bitcoin Hodlers Laughing All The Way To The Bank – Here’s Why,"Thu, 20 Jun 2024 16:00:56 GMT",NewsBTC,"The current state of the Bitcoin market offers a mix of optimism and caution for investors. Over 87% of Bitcoin holders are in profit, with their investments valued higher than their initial purchase prices. 

 On average, these investors are seeing unrealized gains of 120%, a significant figure that reflects the substantial rally that pushed Bitcoin to its all-time high in March, according to Glassnode data. However, despite these gains, the market exhibits both encouraging long-term trends and some short-term uncertainties that merit closer examination. 

 Profitability And Market Metrics 

 The profitability among Bitcoin investors is notable. The MVRV (Market Value to Realized Value) metric, a key indicator of market sentiment, remains comfortably above its yearly baseline. This metric measures the ratio of Bitcoin’s market value to its realized value and serves as a gauge of average unrealized profit across the market. 

 A high MVRV ratio indicates that most investors are sitting on substantial unrealized gains, painting a positive picture of the market’s health. This upward trend contrasts with the recent price volatility, underscoring the resilience of long-term investors who bought the dip and are now seeing their foresight rewarded. 

 Reduced Trading Activity And Demand 

 Despite the overall profitability, the Bitcoin market is experiencing a notable reduction in trading activity. The vibrant speculative trading that once characterized the market has significantly diminished. 

 Day traders, who previously capitalized on price swings, have retreated, resulting in reduced trading volumes and tepid demand. This lack of speculative trading has led to a stagnation in Bitcoin prices, which are now confined to a well-defined range. The market’s current state can be likened to a calm period after a storm, where activity is subdued, and prices sway gently without significant movement.Investor Caution And Market Sentiment 

 The reduced trading activity reflects a broader sentiment of caution among investors. The current period of consolidation suggests that many investors are taking a wait-and-see approach, carefully assessing the market landscape before making any decisive moves. 

 This cautious sentiment is further evidenced by on-chain data showing a significant decrease in the flow of Bitcoin into exchanges. Typically, an increase in Bitcoin transfers to exchanges is a precursor to selling activity, as holders look to liquidate their positions. The current decline in these transfers indicates that both short-term and long-term holders are refraining from selling, preferring to hold onto their assets. 

 Short-term holders, who once actively traded Bitcoin for quick profits, are now transferring significantly fewer coins compared to the peak levels seen in March. This behavior suggests a shift towards a more conservative strategy, possibly in anticipation of future price movements. Long-term investors, on the other hand, appear content to maintain their positions, exhibiting confidence in Bitcoin’s long-term potential despite the short-term market stagnation. 

 Featured image from Adobe Stock, chart from TradingView 

 "
the_block:2d96ec28a094b:0,Midas launches new yield-bearing token mBASIS to compete with Ethena,"Thu, 20 Jun 2024 16:00:02 GMT",The Block,"Midas, a tokenization platform backed by Coinbase Ventures and others, has launched a new yield-bearing token called mBASIS. 

 mBASIS is a dollar-denominated ERC-20 token designed to deliver yield through a delta-neutral basis trading strategy, Midas said Thursday. Delta-neutral basis trading involves profiting from price gaps between the spot and perpetual futures markets. By going long in the spot market and short in the perpetual futures market for the same amount (or vice versa, if futures are lower than spot), the trade captures the price difference, or basis, as profit while maintaining a delta-neutral position. 

 The mBASIS token is similar to Ethena Labs' yield-bearing token, sUSDe (a staked version of its USDe ""synthetic dollar""), which also uses a delta-neutral basis trading strategy to generate yield. Since launching earlier this year, sUSDe has quickly grown in popularity and currently leads the yield-bearing tokens category with a market cap of $1.65 billion, according to The Block's Data Dashboard. 

 Midas decided to launch mBASIS because it felt it could build a better product than Ethena Labs, Fabrice Grinda, executive chairman of Midas, told The Block. 

 Midas currently already offers mTBILL, a yield-bearing stablecoin backed by U.S. Treasurys, which is a more suitable product for bear markets. However, in bull markets, people seek yield beyond the risk-free rate that is offered by mTBILL, Grinda said. 

 ""In bull markets, people expect the price of bitcoin and ether to rise in the future. You can generate yield by buying the spot and shorting futures. When the market is extraordinarily frothy as it was in March this generated annual returns upwards of 50%,"" Grinda, co-founder and former CEO of Aucland, Zingy and OLX, and a serial angel investor, said.  

 mBASIS vs Ethena's sUSDe 

 mBASIS differs from Ethena's sUSDe in more ways than one, Midas founder Dennis Dinkelmeyer, a former investment research analyst at Goldman Sachs, told The Block. Dinkelmeyer said that, unlike Ethena's product, mBASIS is managed by ""a leading, licensed asset manager who operates under a fiduciary duty, ensuring that the investment process aligns with the best interests of investors,"" declining to name the asset manager. He added that mBASIS has an independent regulated fund administrator, NAV Consulting. 

 mBASIS also provides bankruptcy protection, as client assets are held in a bankruptcy-protected special purpose vehicle, Dinkelmeyer said. In the event of a default, a security agent would distribute assets to creditors.  

 The mBASIS token is ""fully compliant with European securities regulations,"" according to Dinkelmeyer, who said this compliance ensures investor protection and legal certainty and makes mBASIS a ""more transparent option compared to Ethena's product."" 

 How mBASIS works 

 The mBASIS token dynamically adjusts basis positions across bitcoin, ether and the top 20 altcoins. While basis trading strategies typically perform well in bull markets due to positive funding rates, mBASIS switches to reverse basis trading or to mTBILL during adverse market conditions. 

 ""This flexibility ensures mBASIS remains an attractive investment under various market conditions,"" Dinkelmeyer said. ""In early June, the mBASIS APY [annual percentage yield] was around 20%. Currently, the APY is approximately 12%. The yield varies with market conditions,"" he added. 

 Overall, Dinkelmeyer said that mBASIS aims to achieve above-market returns by actively allocating to basis positions in the top 20 altcoins, which typically offer higher returns than bitcoin and ether. 

 mBASIS has already collected a seeding amount that is currently being invested, totaling ""several million dollars"" in total value locked (TVL), Dinkelmeyer said. He expects the TVL to exceed $100 million by this year's end for both of Midas' tokens, mBASIS and mTBILL. The latter currently has a TVL of about $7 million, according to Midas' website. 

 Both mBASIS and mTBILL are unavailable to U.S. persons and entities or those from sanctioned jurisdictions. The minimum investment amount currently for both products is 100,000 euros (over $107,000). Certain investors, such as qualified investors, may be able to invest at lower minimum amounts. 

 Midas is backed by high-profile investors, including Coinbase Ventures, GSR and BlockTower Capital. The Berlin, Germany-based startup raised $8.75 million in funding in March. 

 Disclaimer: The Block is an independent media outlet that delivers news, research, and data. As of November 2023, Foresight Ventures is a majority investor of The Block. Foresight Ventures invests in other companies in the crypto space. Crypto exchange Bitget is an anchor LP for Foresight Ventures. The Block continues to operate independently to deliver objective, impactful, and timely information about the crypto industry. Here are our current financial disclosures. 

 © 2023 The Block. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice. 

 "
coindesk:ee09588e2094b:0,Crypto for Advisors: Crypto Trends,"Thu, 20 Jun 2024 16:00:00 GMT",CoinDesk,"2024 has been an active year for crypto investments. Connor Farley from Truvius breaks down institutional investment trends, interests, perceptions, and how they have evolved over recent years. 

 I’d like to welcome a new contributor, Marissa Kim from Abra Capital Management, who provides insights in the Ask an Expert section about supporting client’s investment interest in cryptocurrencies. 

 - Sarah Morton 

 Measuring Trends in Institutional Interest in Crypto 

 Since 2019, the crypto-focused subset of Fidelity’s institutional business has published a survey called the “Institutional Investor Digital Assets Study,” measuring trends in sentiment and adoption of crypto investing among institutional investors globally. 

 Overall, the 2023 survey depicts a generally sturdy but still mixed institutional outlook toward crypto on the back of a turbulent 2022. 

 Trends Reflecting Positive Sentiment 

 Trends Reflecting Negative Sentiment 

 It’s important to note the latest survey only spans May 30, 2023, to Oct. 6, 2023, missing a critical year-end period during which bitcoin rose from approximately $28,000 to $42,300, driven largely by anticipation of the SEC’s approval of spot bitcoin ETFs which occurred later, in January of 2024. Perceptions have likely evolved meaningfully since the start of 2024 following crypto’s market capitalization climbing above $2.5 trillion, Bitcoin surging to nearly $74,000, and the SEC’s approval of bitcoin and soon Ether spot ETFs. 

 What to look for in 2024 

 Arguably, the biggest market moments in the history of digital assets occurred after this survey was conducted, namely actions that reduce regulatory uncertainty, which may, in turn, reduce price volatility and improve investment options for investors. 

 Will the surprise SEC approval of spot Ether ETFs diminish regulatory concerns among institutions? 

 The digital asset market has begun transitioning from early adoption to mass adoption. A sea change in industry leadership, product development, and fiduciary commitment swept crypto in 2023 and early into 2024, enabling a new suite of increasingly institutional-grade on-ramps into the asset class. This change may take time to permeate through to institutional allocations more foundationally, but the rapid adoption of spot bitcoin ETFs following the SEC’s approval (aggregate ETF AUM doubled from approximately $30 billion in January to nearly $60 billion as of mid-June) may provide early indications of stronger institutional interest in crypto. 

 Will concerns about price volatility persist? 

 Volatility for the digital asset class remains elevated compared to other asset classes, but it has trended down over time and may continue to do so as improving regulatory conditions and institution-friendly product offerings potentially stabilize markets. Investors should also consider not just crypto volatility but the risk-adjusted return profile of various blockchain assets. 

 Will institutional investments flow primarily into spot BTC and ETH ETFs, or will they be spread across investment structures (SMAs, private funds, VC) offering diversified exposure to blockchain assets beyond the two mega caps? 

 Supported by major advances in industry infrastructure in 2023 spanning custody, trading, and asset management, investors now have a better – but still nascent – array of product options and investment platforms to not only help avoid the pitfalls of early-adopter risk but also to exploit early-adopter premia. These options, in addition to ETFs, include the increasingly prevalent SMA direct-index vehicle. 

 With the combined surge in blockchain data providers and the growing presence of systematic digital asset managers, will institutions become more familiar with crypto fundamentals and methods of digital asset valuation? 

 Some 37% of 2023 respondents cited a “lack of fundamentals to gauge appropriate value” as a barrier to investing. This large number reflects the asset class's emerging nature and the learning curve associated with measuring blockchain value. However, this number is down from 44% in 2021. It may continue to fall as investors become increasingly familiar with blockchain technology and the unique ways to analyze a protocol’s value to users. 

 - Connor Farley, CEO,Truvius 

 Ask an Expert 

 Q: What else should I be thinking about aside from buying and holding Bitcoin? 

 A: If clients want exposure to digital assets, it’s advisable to diversify that exposure, as you would with traditional assets. Bitcoin should be the core of every portfolio. Still, consideration is increasingly being given to ETH and SOL, given that Ethereum is becoming the chain of choice for institutional applications and Solana is for consumer payment applications. Financial advisors should not leave their clients’ assets on exchanges but utilize secure custody solutions to retain ownership and access to their client’s assets. 

 Q: Should I get exposure through ETFs? 

 A: While ETFs are convenient for retail investors, they lack the flexibility and opportunities available from holding actual digital assets. Digital assets trade 24/7, unlike ETFs, which only trade during market hours. Moreover, ETFs do not enable yield generation, which can be an attractive income stream and cannot be used as collateral for borrowing. For clients with large BTC portfolios, borrowing against their digital assets may be preferable to selling and incurring capital gains tax. 

 Q. Which client demographic are digital assets most suitable for? 

 A: Understanding the suitability of digital assets requires assessing clients' risk tolerance and wealth management goals. For low-risk clients, digital assets may serve as a store of value, with opportunities to generate attractive yields through staking. High-risk clients may instead desire access to venture capital investments in early-stage blockchain projects or higher-yielding DeFi investment strategies. Tailoring these approaches to individual needs helps integrate digital assets into a comprehensive wealth management plan. 

 - Marissa Kim, head of Asset Management, Abra Capital Management 

 Keep Reading 

 Note: The views expressed in this column are those of the author and do not necessarily reflect those of CoinDesk, Inc. or its owners and affiliates. 

 "
u_today:2771aefe7094b:0,Bitcoin (BTC) Price Prediction for June 20,"Thu, 20 Jun 2024 15:52:00 GMT",U.Today,"Bears have come back to the game after a slight bounce back, according to CoinStats.BTC chart by CoinStats 

 BTCUSD 

 The rate of Bitcoin BTCUSD has fallen by 0.32% over the last day.Image by TradingView 

 On the hourly chart, the price of BTC is about to break the local support level of $64,809. If it happens, the energy might be enough for a more profound drop to the $64,000 zone tomorrow.Image by TradingView 

 On the bigger time frame, sellers are keeping their pressure, and there are no reversal signals yet. At the moment, one should pay attention to the interim level of $64,000.  

 If the decline continues and the daily bar closes near it or below, traders may expect a test of the $63,000 mark soon.Image by TradingView 

 From the midterm point of view, traders should focus on the previous bar's low at $65,000. If the candle closes below it, there is a possibility to see a drop to the $60,000-$62,000 range. 

 Bitcoin is trading at $64,805 at press time. 

 "
u_today:5d178af9c094b:0,Here's How Much BTC Michael Saylor's MicroStrategy Now Holds After Recent Buy,"Thu, 20 Jun 2024 15:48:00 GMT",U.Today,"Michael Saylor, the cofounder and chairman of MicroStrategy, has taken to X (formerly Twitter) to share an exciting update about the company's growing Bitcoin stash. 

 Saylor revealed that MicroStrategy has bolstered its cryptocurrency reserves by acquiring an additional 11,931 BTC, amounting to over $786 million. This was financed through the proceeds from convertible notes and excess cash, purchasing the BTC coins at an average price of approximately $65,883 per BTC. 

 MicroStrategy has acquired an additional 11,931 BTC for ~$786.0M using proceeds from convertible notes & excess cash for ~$65,883 per #bitcoin. As of 6/20/24, $MSTR hodls 226,331 $BTC acquired for ~$8.33B at average price of $36,798 per bitcoin.https://t.co/jE9dGqqnON— Michael Saylor⚡️ (@saylor) June 20, 2024 

 The said 11,931 Bitcoin were acquired between April 27 and June 19, according to a filing on Thursday with the U.S. Securities and Exchange Commission (SEC). Notably, this is MicroStrategy’s third largest acquisition of Bitcoin following its $821 million purchase of 12,000 tokens on March 11. 

 This substantial acquisition adds to MicroStrategy's already significant Bitcoin holdings. As of June 20, 2024, the company now holds a total of 226,331 BTC, acquired for over $8.33 billion at an average price of $36,798 per Bitcoin. 

 MicroStrategy's decision to expand its Bitcoin stash coincides with a period of lackluster price movements for the crypto market. Bitcoin has slightly eased after an impressive rally that took it to all-time highs of above $73,000 in mid-March. At the time of writing, BTC was down 0.18% in the last 24 hours to $64,859, extending its sell-off for this week. 

 MicroStrategy's aggressive investment strategy has positioned it as a leading corporate holder of Bitcoin, reflecting a strong belief in the cryptocurrency's value proposition. 

 Saylor started buying Bitcoin in 2020 as an inflation hedge and cash alternative. The biggest cryptocurrency has increased by nearly 600% since Saylor began purchasing it. Furthermore, the decision to buy Bitcoin has boosted MicroStrategy's stock price, which has risen by more than 1,000% since Saylor's decision. 

 "
u_today:25479c31a094b:0,Max Keiser Issues Warning to Argentina's President Against Ethereum,"Thu, 20 Jun 2024 15:43:00 GMT",U.Today,"Argentinian President Javier Milei has expressed his support for the free competition of currencies, including Bitcoin. This announcement has been well received by many in the cryptocurrency community. However, Max Keiser, a well-known Bitcoin advocate and advisor to the president of El Salvador, has advised Milei to be cautious about including other cryptocurrencies, such as Ethereum. 

 Keiser has described ETH as a scam, warning that its inclusion could slow Argentina's progress in the digital currency sector. He suggests that while Milei's endorsement of BTC is a positive step, the president should reconsider his stance on supporting multiple cryptocurrencies. 

 According to Keiser, many Bitcoin enthusiasts initially supported various digital currencies before eventually focusing solely on BTC. 

 Keiser, Bitcoin, Argentina 

 This is not the first time Keiser has criticized Milei's crypto policy. He previously raised concerns about Milei's decision to mandate the registration of all Bitcoin and crypto platforms in Argentina, arguing that this approach could have negative repercussions due to what he perceives as a lack of deep understanding of Bitcoin's unique characteristics. 

 Despite these criticisms, President Milei remains committed to his vision of a free market where individuals and businesses can choose their preferred currency. He believes that allowing the use of different units, such as Bitcoin and Ethereum, will spur innovation and economic growth. 

 Earlier this year, Argentina took an important step by removing taxes on Bitcoin and other cryptocurrencies, signaling a shift toward a more favorable regulatory environment for digital assets. 

 "
u_today:04dc288eb094b:0,XRP Price Prediction for June 20,"Thu, 20 Jun 2024 15:41:00 GMT",U.Today,"Almost all of the top 10 coins are again trading in the red zone, according to CoinMarketCap.Top coins by CoinMarketCap 

 XRPUSD 

 XRP is the only exception from the rule, rising by 0.55% since yesterday.Image by TradingView 

 Despite today's slight rise, the price of XRP is coming back to the local support level of $0.4922. If its breakout happens, the fall is likely to continue to the $0.4850 area soon.Image by TradingView 

 On the bigger time frame, neither buyers nor sellers are dominating as the rate is far from the main levels. In this regard, ongoing sideways trading in the zone of $0.4850-$0.50 is the more likely scenario until the end of the week.Image by TradingView 

 A similar picture can be seen on the weekly chart. The price of XRP is trading in the middle of the wide channel, between the support of $0.4309 and the resistance of $0.5714. 

 The low volume confirms that there are low chances of high volatility until the end of the month. 

 XRP is trading at $0.4947 at press time. 

 "
u_today:d1cc33986094b:0,"Elon Musk Confirms Son 'Lil X' Still Hodls Dogecoin, DOGE Community Reacts","Thu, 20 Jun 2024 15:38:00 GMT",U.Today,"Tesla CEO Elon Musk has recently confirmed that his son, affectionately known as 'lil X,' is still holding onto his Dogecoin DOGEUSD, much to the delight of the DOGE community. 

 This indirect confirmation came in response to a playful tweet by a Dogecoin graphic designer, ""dogedesigner,"" who shared that 'lil X' is a dedicated toddler holder, never once suggesting selling his holdings. 

 It’s true! 😂— Elon Musk (@elonmusk) June 20, 2024 

 ""X is a toddler hodler. Never once has he said sell,"" Dogedesigner tweeted. Musk reacted with an affirmation, accompanied by a laughter emoji. This lighthearted confirmation quickly caught the attention of the crypto community. 

 Bought some Dogecoin for lil X, so he can be a toddler hodler— Elon Musk (@elonmusk) February 10, 2021 

 This interaction has sparked a wave of reactions from the crypto community, with an X (formerly Twitter) user sharing a throwback to Musk's tweet from Feb. 10, 2021, which read, ""Bought some Dogecoin for lil X, so he can be a toddler hodler."" Another X user responded by asking, ""how many Doge X has?"" 

 The Dogecoin community has long been influenced by Musk's tweets, often seeing immediate market reactions to his statements. His latest tweet is no exception, as it has once again put the spotlight on Dogecoin. 

 Musk, who touted himself as the ""Dogefather,"" has been a strong supporter of Dogecoin, frequently mentioning it in his tweets and even allowing it as a payment option for certain Tesla merchandise. 

 In May, Musk tweeted about the passing of the dog Kabosu, the face of the DOGE meme, which saw the Dogecoin price spike shortly after. 

 At the time of writing, the Dogecoin price was trading down 0.08% in the last 24 hours to $0.122, yet to post a reaction to the current attention it is receiving. 

 "
cointelegraph:2b1006370094b:0,Mirror World CEO shares insights on building a Solana game engine after securing $12M raise,"Thu, 20 Jun 2024 15:33:34 GMT",Cointelegraph,"Despite the blockchain's soaring popularity, there is a chronic ""lack of infrastructure"" for developers to build games on Solana, at least according to Mirror World CEO Chris Zhu. 

 In an interview with Cointelegraph, Zhu stated that certain DeFi features taken for granted on other blockchains, such as cross-chain swaps and on/off crypto ramps, are simply out of reach for Solana gaming developers. ""For example, applications like games find it challenging to internalize value on a shared Solana layer not designed with just one application in mind,"" said Zhu, continuing: ""Specific applications may require custom features such as Privacy, Instant settlements, Asset transfer rules and compliance which were not supported."" 

 To combat this problem, a few days prior, Solana gaming studio Mirror World Labs raised $12 million in its inaugural Series A funding led by Bitkraft, Galaxy Interactive, Big Brain Holdings, and others to further the development of its gaming rollup, Sonic, which launched back in March.  

 Zhu says that thus far, developers have been receptive to Sonic's technical capacity. ""However, some of their feedback was to have the main token liquidity on Solana mainnet,"" he said. ""Which is why we enabled atomic interoperability. Leveraging HyperGrid Framework (a rollup deployment kit that allows developers to deploy new game engines and virtual machines within the Solana environment), games can utilize atomic interoperability, which allows liquidity to remain on the mainnet while processing game logic on Sonic."" 

 Currently, Mirror World is targeting a controlled aggregated transaction settlement of 12,000,000 transactions per second on Sonic and HyperGrid, which would support a variety of multi-player real-time gaming transactions such as inventory purchases, quest drops, and more.  

 ""In order to achieve this, we also needed to work directly with Solana validators to prioritize and submit our transactions - which is where our investor Galaxy Interactive has been playing a big role, as the largest validator on Solana,"" Zhu said. 

 Cointelegraph: Looking ahead, what are the key milestones and new features that Mirror World plans to introduce to further support and expand the Solana gaming ecosystem? 

 Chris Zhu: As a layer-two blockchain, we are actively expanding all the relevant components to build out a healthy, sustainable, and growing ecosystem. This not only includes gaming studios, but all the infrastructure projects to enable and bring in liquidity, such as NFT marketplaces, DEXes, staking protocols, etc. Additionally, we are positioned to be the gaming hub of Solana - supporting our gaming studios on all fronts, including go-to-market support, regional marketing, partnership collaboration, KOL engagements, and more to maximize the growth of our ecosystem games. 

 Currently, Sonic remains the only software development kit (SDK) on Solana. Its closest competitor, Eclipse, instead seeks to build a Solana Virtual Machine later-two on Ethereum, and not a Solana-native SDK on its own blockchain. ""There is also Ronin (Web3 Games) and Redstone (FOCG), which is the leading gaming chain on top of Ethereum, but we aim to bring gaming assets and developers that want to build on Solana Virtual Machine,"" Zhu commented. 

 Mirror World developers told Cointelegraph previously that while Solana has benefited from the memecoin boom and decentralized application market growth, its gaming aspect “has not seen similar levels of success.” They believe that the novel Sonic protocol could help other devs in deploying Solana Virtual Machine (SVM) chains to support their own GameFi projects. 

 "
financemagnates:06108a522094b:0,"TradingView Integrates Crypto.com Data, Expanding Access to 700+ Digital Assets","Thu, 20 Jun 2024 15:32:29 GMT",Finance Magnates,"TradingView has integrated data from Crypto.com, one of the leading global crypto exchanges. This addition aims to enrich the analytical tools available on TradingView and to make it easier for traders to explore and understand digital asset trading.  

 Enhancing User Experience 

 By incorporating Crypto.com’s extensive data coverage, TradingView users can now access real-time insights on over 700 crypto assets. This new feature aims to simplify access to the market by users. Users can open the chart and enter the ""CRYPTOCOM"" prefix in the symbol search to start analyzing the data. 

 Established in 2016 in Hong Kong, Crypto.com has over 700 assets spanning spot, margin, and derivatives classes. It reportedly processes over 2.7 million transactions per second and has a user base of 100 million from more than 90 countries. The integration of Crypto.com data into TradingView is aimed at creating a more comprehensive and accessible trading experience. 

 Direct Access to Financial Instruments 

 TradingView now connects to hundreds of data feeds, offering direct access to 1,357,880 instruments worldwide. The trading platform lauded its wide database, saying it makes the platform comprehensive for all things markets for analyzing trends, conducting research, or making trading decisions. 

 In March, TradingView collaborated with Spotware, a trading technology provider, to boost brokerage services. This agreement focuses on integrating the cTrader platform into Spotware, a platform that serves more than 200 brokers worldwide. It aims to simplify how brokers connect with TradingView through Spotware technologies. 

 According to TradingView, the partnership will enhance trading technology for traders globally by linking front-end and back-end capabilities. It will also improve broker connectivity and business growth within the trading community.  

 Additionally, TradingView onboarded IC Markets to broaden users’ trading capabilities. This partnership offers a range of Contracts for Difference (CFDs), including crypto, futures, indices, and currency pairs, with swift execution and low spreads. 

 "
the_block:66e42d68d094b:0,"BitFlyer targets FTX Japan for acquisition, reports NHK","Thu, 20 Jun 2024 15:30:52 GMT",The Block,"FTX Japan could soon come under Japanese crypto exchange BitFlyer's ownership, according to reports by Japan's public broadcasting service.  

 BitFlyer is expected to pay several billion yen to purchase all of FTX Japan’s shares, effectively granting it control of the company, NHK reported on Thursday. The company plans to reboot FTX Japan as a digital asset management or custody firm for institutional investors, according to the report.  

 BitFlyer did not immediately respond to The Block’s request for comment.  

 FTX Japan launched in 2022, a few months before its parent company declared bankruptcy. The firm is one of four independently operated subsidiaries that FTX has moved to sell during its ongoing bankruptcy proceedings.  

 In recent years, digital asset adoption has grown significantly in Japan. Cryptocurrency accounts totaled more than 10 million as of April 2024, up roughly 300% from the number of accounts in the country in 2019, noted NHK, which cited data from the Japan Cryptocurrency Exchange Association.  

 Disclaimer: The Block is an independent media outlet that delivers news, research, and data. As of November 2023, Foresight Ventures is a majority investor of The Block. Foresight Ventures invests in other companies in the crypto space. Crypto exchange Bitget is an anchor LP for Foresight Ventures. The Block continues to operate independently to deliver objective, impactful, and timely information about the crypto industry. Here are our current financial disclosures. 

 © 2023 The Block. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice. 

 "
